"market","city","name","description","price_range","latitude","longitude"
"Houston, TX",Houston,McDonald's,"$ • American, Burgers",$,29.748692,-95.370802
"Houston, TX",Houston,Piada Italian Street Food,"$$ • Italian, Wraps",$$,29.7609367,-95.4204242
"Houston, TX",Houston,Chick-fil-A,"$ • Chicken, American",$,29.7748244,-95.3810132
"Houston, TX",Houston,Wingstop,"$$ • American, Chicken Wings",$$,29.7736191,-95.3981886
"Houston, TX",Houston,Panda Express,"$$ • Chicken, Fast Food",$$,29.7748868,-95.3818701
"Houston, TX",Houston,Chipotle,"$$ • Mexican, Tacos",$$,29.7600926021268,-95.3625534608786
"Houston, TX",Houston,Poke In The Bowl,"$$ • Hawaiian, Takeout",$$,29.744143,-95.3881679
"Houston, TX",Houston,Freebirds World Burrito,"$ • Dessert, Beverages",$,29.7755495,-95.3826244
"Houston, TX",Houston,Jack in the Box,"$$ • Chicken, Burgers",$$,29.7577552,-95.3985315
"Houston, TX",Houston,Burger King,"$$ • American, Burgers",$$,29.734045,-95.3485183
"Houston, TX",Houston,American Deli,"$ • Deli, Takeout",$,29.7000121,-95.3600172
"Houston, TX",Houston,Gyro Hut,"$$ • Mediterranean, Takeout",$$,29.6995041,-95.3857595
"Houston, TX",Houston,Little Caesars Pizza,"$$ • Pizza, Deep Dish Pizza",$$,29.7768608,-95.3077592
"Houston, TX",Houston,The Rice Box,"$$ • Asian, Asian Food",$$,29.7556801,-95.4085339
"Houston, TX",Houston,Subway,"$ • Sandwiches, Salads",$,29.7466861,-95.359915
"Houston, TX",Houston,Torchy's Tacos,"$ • Mexican, Tacos",$,29.7440974,-95.4104148
"Houston, TX",Houston,Marco's Pizza,"$$ • Family Meals, Italian",$$,29.7226889,-95.3704827
"Houston, TX",Houston,Whataburger,"$ • Breakfast, Fast Food",$,29.7913369,-95.3732016
"Houston, TX",Houston,Starbucks,"$ • Coffee, Cafe",$,29.755549,-95.3666532
"Houston, TX",Houston,Sonic Drive-in,"$$ • American, Burgers",$$,29.7690238,-95.3874318
"Houston, TX",Houston,Dunkin',"$$ • Coffee & Tea, Donuts",$$,29.7448915,-95.4108887
"Houston, TX",Houston,Charleys Cheesesteaks,"$$ • Sandwich, Chicken",$$,29.7726545643198,-95.4008299035375
